attack_id,datetime,year,month,lat,lon,basin,vessel_type,attack_type,crew_injured,hostages_taken,weapons,narrative
ASAM-1998-00038,2013-12-01T18:02:00,2013,12,5.3573,119.0906,Sulu Sea,Chemical Tanker,Attempted,0,0,Unknown,Chemical Tanker attacked by BIFF splinter group at anchorage. MOA: hostage transfer to Jolo island camps. Weapons observed: small arms. approach broken off after master sounded alarm and engaged firehoses.
ASAM-1999-00039,2019-03-20T01:18:00,2019,3,2.8976,3.5803,Gulf of Guinea,Tug & Barge,Boarded,0,2,RPG,"Tug & Barge attacked by Niger Delta militant offshoot approx 277nm offshore. MOA: tanker product theft (siphon). Weapons observed: AK-47. boarders rifled bridge & masters cabin, stole cash and electronics; 2 crew taken hostage; ransom demand transmitted within 72h."
ASAM-2000-00040,2018-10-12T02:03:00,2018,10,5.5605,120.3502,Sulu Sea,Bulk Carrier,Suspicious Approach,0,0,Small arms,Bulk Carrier attacked by Sulu archipelago kidnapping ring approx 190nm offshore. MOA: abduction of fishing crew. Weapons observed: M16 + RPG. unidentified skiff shadowed vessel for 18 minutes before withdrawing.
ASAM-2001-00041,2022-05-23T03:27:00,2022,5,6.2373,119.4785,Sulu Sea,Bulk Carrier,Boarded,0,0,RPG,"Bulk Carrier attacked by BIFF splinter group approx 127nm offshore. MOA: hostage transfer to Jolo island camps. Weapons observed: AK-47. boarders rifled bridge & masters cabin, stole cash and electronics."
ASAM-2002-00042,2005-01-10T02:27:00,2005,1,3.6616,100.9883,Strait of Malacca,Offshore Supply,Attempted,0,0,AK-47,Offshore Supply attacked by Riau Archipelago armed robbers underway in transit lane. MOA: crew rob & flee in <30 min. Weapons observed: RPG-7. approach broken off after master sounded alarm and engaged firehoses.
ASAM-2003-00043,2016-07-24T00:50:00,2016,7,14.4912,49.7225,Gulf of Aden,LPG/LNG Tanker,Boarded,0,0,RPG,"LPG/LNG Tanker attacked by Puntland-based PAG in narrow channel. MOA: RPG warning shot then boarding. Weapons observed: AK-47. boarders rifled bridge & masters cabin, stole cash and electronics."
ASAM-2004-00044,2004-12-21T03:43:00,2004,12,4.5394,4.4426,Gulf of Guinea,Fishing Vessel,Boarded,0,0,Knives,"Fishing Vessel attacked by Nigerian kidnap-for-ransom cell at anchorage. MOA: fast attack craft >150nm offshore. Weapons observed: M16 + RPG. boarders rifled bridge & masters cabin, stole cash and electronics."
ASAM-2005-00045,2020-11-13T06:10:00,2020,11,11.1593,49.9822,Gulf of Aden,Tug & Barge,Boarded,0,0,Knives,"Tug & Barge attacked by Puntland-based PAG underway in transit lane. MOA: AK-47 small arms suppression. Weapons observed: knives/machetes. boarders rifled bridge & masters cabin, stole cash and electronics."
ASAM-2006-00046,2018-02-14T20:49:00,2018,2,2.8495,5.6183,Gulf of Guinea,General Cargo,Boarded,1,0,AK-47,"General Cargo attacked by Bakassi Strike Force remnant at anchorage. MOA: AK-47 + GPMG armed boarding. Weapons observed: small arms. boarders rifled bridge & masters cabin, stole cash and electronics; 3 crew sustained injuries."
ASAM-2007-00047,2004-09-18T03:29:00,2004,9,3.0664,6.2766,Gulf of Guinea,Fishing Vessel,Boarded,0,0,Knives,"Fishing Vessel attacked by Niger Delta militant offshoot in narrow channel. MOA: fast attack craft >150nm offshore. Weapons observed: small arms. boarders rifled bridge & masters cabin, stole cash and electronics."
ASAM-2008-00048,2018-01-12T04:00:00,2018,1,5.2896,4.0993,Gulf of Guinea,Chemical Tanker,Boarded,0,0,Knives,"Chemical Tanker attacked by Niger Delta militant offshoot underway in transit lane. MOA: kidnap-for-ransom of officers. Weapons observed: AK-47. boarders rifled bridge & masters cabin, stole cash and electronics."
ASAM-2009-00049,2016-06-14T06:09:00,2016,6,6.4163,120.3147,Sulu Sea,LPG/LNG Tanker,Attempted,0,0,RPG,LPG/LNG Tanker attacked by Abu Sayyaf maritime cell underway in transit lane. MOA: M16 + RPG armed boarding. Weapons observed: RPG-7. approach broken off after master sounded alarm and engaged firehoses.
ASAM-2010-00050,2012-07-03T19:40:00,2012,7,14.8239,46.8732,Gulf of Aden,Tug & Barge,Boarded,0,5,Unknown,"Tug & Barge attacked by Hobyo-Harardhere PAG in narrow channel. MOA: grappling hook boarding at low freeboard. Weapons observed: M16 + RPG. boarders rifled bridge & masters cabin, stole cash and electronics; 5 crew taken hostage; ransom demand transmitted within 72h."
ASAM-2011-00051,2018-05-23T02:57:00,2018,5,6.014,121.3214,Sulu Sea,Tug & Barge,Attempted,0,0,Unknown,Tug & Barge attacked by BIFF splinter group in narrow channel. MOA: M16 + RPG armed boarding. Weapons observed: AK-47. approach broken off after master sounded alarm and engaged firehoses.
ASAM-2012-00052,2003-07-23T03:00:00,2003,7,3.1817,102.9106,Strait of Malacca,Bulk Carrier,Boarded,0,4,Small arms,"Bulk Carrier attacked by Free Aceh splinter (historical) at anchorage. MOA: fast skiff rob at narrow channel. Weapons observed: M16 + RPG. boarders rifled bridge & masters cabin, stole cash and electronics; 4 crew taken hostage; ransom demand transmitted within 72h."
ASAM-2013-00053,2022-08-05T06:32:00,2022,8,2.0964,5.7946,Gulf of Guinea,Bulk Carrier,Boarded,0,0,Knives,"Bulk Carrier attacked by Nigerian kidnap-for-ransom cell at anchorage. MOA: fast attack craft >150nm offshore. Weapons observed: RPG-7. boarders rifled bridge & masters cabin, stole cash and electronics."
ASAM-2014-00054,2021-06-08T11:01:00,2021,6,11.6753,48.7846,Gulf of Aden,Fishing Vessel,Attempted,0,0,Small arms,Fishing Vessel attacked by Hobyo-Harardhere PAG underway in transit lane. MOA: RPG warning shot then boarding. Weapons observed: AK-47. approach broken off after master sounded alarm and engaged firehoses.
ASAM-2015-00055,2018-07-27T18:27:00,2018,7,3.776,9.9342,Gulf of Guinea,LPG/LNG Tanker,Boarded,0,4,Knives,"LPG/LNG Tanker attacked by Bakassi Strike Force remnant at anchorage. MOA: fast attack craft >150nm offshore. Weapons observed: small arms. boarders rifled bridge & masters cabin, stole cash and electronics; 4 crew taken hostage; ransom demand transmitted within 72h."
ASAM-2016-00056,2018-12-26T01:54:00,2018,12,11.7165,-66.1686,Caribbean / Venezuelan,Chemical Tanker,Fired Upon,1,0,Knives,"Chemical Tanker attacked by Venezuelan coastal gang at anchorage. MOA: yacht boarding at anchorage. Weapons observed: small arms. master engaged evasive maneuvers, RPG and small arms fire received; 4 crew sustained injuries."
ASAM-2017-00057,2021-08-06T19:01:00,2021,8,2.8313,8.1591,Gulf of Guinea,Chemical Tanker,Hijacked,0,24,Small arms,"Chemical Tanker attacked by Bakassi Strike Force remnant approx 91nm offshore. MOA: fast attack craft >150nm offshore. Weapons observed: RPG-7. vessel hijacked, crew of 28 taken to coastal anchorage; 24 crew taken hostage; ransom demand transmitted within 72h."
ASAM-2018-00058,2003-05-23T08:52:00,2003,5,4.3197,100.4568,Strait of Malacca,LPG/LNG Tanker,Attempted,0,0,Knives,LPG/LNG Tanker attacked by Indonesian coastal gang at anchorage. MOA: crew rob & flee in <30 min. Weapons observed: RPG-7. approach broken off after master sounded alarm and engaged firehoses.
ASAM-2019-00059,2015-11-27T05:29:00,2015,11,11.2186,115.0823,South China Sea,Bulk Carrier,Hijacked,1,17,Small arms,"Bulk Carrier attacked by Vietnamese coastal robbers at anchorage. MOA: product theft (diesel siphoning). Weapons observed: knives/machetes. vessel hijacked, crew of 19 taken to coastal anchorage; 4 crew sustained injuries; 17 crew taken hostage; ransom demand transmitted within 72h."
ASAM-2020-00060,1999-11-17T19:12:00,1999,11,6.2544,120.2241,Sulu Sea,Bulk Carrier,Boarded,0,0,Small arms,"Bulk Carrier attacked by BIFF splinter group underway in transit lane. MOA: abduction of fishing crew. Weapons observed: M16 + RPG. boarders rifled bridge & masters cabin, stole cash and electronics."
ASAM-2021-00061,2021-03-19T19:38:00,2021,3,4.7122,4.2109,Gulf of Guinea,Bulk Carrier,Boarded,0,1,Knives,"Bulk Carrier attacked by Niger Delta militant offshoot in narrow channel. MOA: AK-47 + GPMG armed boarding. Weapons observed: small arms. boarders rifled bridge & masters cabin, stole cash and electronics; 1 crew taken hostage; ransom demand transmitted within 72h."
ASAM-2022-00062,2002-08-16T23:08:00,2002,8,4.0904,101.9593,Strait of Malacca,Crude Oil Tanker,Boarded,0,0,Small arms,"Crude Oil Tanker attacked by Riau Archipelago armed robbers approx 114nm offshore. MOA: nighttime stealth boarding at anchorage. Weapons observed: RPG-7. boarders rifled bridge & masters cabin, stole cash and electronics."
ASAM-2023-00063,1996-09-19T21:21:00,1996,9,1.0495,4.8678,Gulf of Guinea,Crude Oil Tanker,Attempted,0,0,Unknown,Crude Oil Tanker attacked by Nigerian kidnap-for-ransom cell underway in transit lane. MOA: tanker product theft (siphon). Weapons observed: knives/machetes. approach broken off after master sounded alarm and engaged firehoses.
ASAM-2024-00064,2018-05-25T20:21:00,2018,5,10.64,-63.031,Caribbean / Venezuelan,Bulk Carrier,Boarded,0,0,Unknown,"Bulk Carrier attacked by Trinidad-Tobago smuggler crew in narrow channel. MOA: yacht boarding at anchorage. Weapons observed: AK-47. boarders rifled bridge & masters cabin, stole cash and electronics."
ASAM-2025-00065,2023-06-13T22:15:00,2023,6,3.4658,3.6691,Gulf of Guinea,Crude Oil Tanker,Boarded,0,0,Small arms,"Crude Oil Tanker attacked by Nigerian kidnap-for-ransom cell in narrow channel. MOA: fast attack craft >150nm offshore. Weapons observed: M16 + RPG. boarders rifled bridge & masters cabin, stole cash and electronics."
ASAM-1993-00066,2008-12-26T04:18:00,2008,12,13.8624,50.9132,Gulf of Aden,RoRo Vehicle Carrier,Hijacked,1,24,Knives,"RoRo Vehicle Carrier attacked by Somali pirate skiff network approx 236nm offshore. MOA: mothership-launched skiff swarm. Weapons observed: RPG-7. vessel hijacked, crew of 16 taken to coastal anchorage; 2 crew sustained injuries; 24 crew taken hostage; ransom demand transmitted within 72h."
ASAM-1994-00067,2021-07-07T03:03:00,2021,7,3.8347,101.0996,Strait of Malacca,Fishing Vessel,Boarded,0,0,Small arms,"Fishing Vessel attacked by Free Aceh splinter (historical) underway in transit lane. MOA: crew rob & flee in <30 min. Weapons observed: AK-47. boarders rifled bridge & masters cabin, stole cash and electronics."
ASAM-1995-00068,1994-11-06T21:31:00,1994,11,1.5189,8.2147,Gulf of Guinea,General Cargo,Attempted,0,0,Unknown,General Cargo attacked by Niger Delta militant offshoot underway in transit lane. MOA: AK-47 + GPMG armed boarding. Weapons observed: AK-47. approach broken off after master sounded alarm and engaged firehoses.
ASAM-1996-00069,2009-04-13T04:00:00,2009,4,14.0538,48.9698,Gulf of Aden,Chemical Tanker,Fired Upon,1,0,AK-47,"Chemical Tanker attacked by Hobyo-Harardhere PAG approx 249nm offshore. MOA: RPG warning shot then boarding. Weapons observed: small arms. master engaged evasive maneuvers, RPG and small arms fire received; 4 crew sustained injuries."
ASAM-1997-00070,2009-01-22T19:53:00,2009,1,14.2321,49.2134,Gulf of Aden,Tug & Barge,Boarded,0,0,Small arms,"Tug & Barge attacked by Somali pirate skiff network approx 229nm offshore. MOA: mothership-launched skiff swarm. Weapons observed: RPG-7. boarders rifled bridge & masters cabin, stole cash and electronics."
ASAM-1998-00071,2009-01-19T22:57:00,2009,1,11.0617,48.381,Gulf of Aden,Chemical Tanker,Suspicious Approach,0,0,Unknown,Chemical Tanker attacked by Puntland-based PAG in narrow channel. MOA: AK-47 small arms suppression. Weapons observed: AK-47. unidentified skiff shadowed vessel for 18 minutes before withdrawing.
ASAM-1999-00072,2004-08-25T20:53:00,2004,8,14.3476,48.5216,Gulf of Aden,Bulk Carrier,Boarded,0,0,RPG,"Bulk Carrier attacked by Hobyo-Harardhere PAG underway in transit lane. MOA: AK-47 small arms suppression. Weapons observed: M16 + RPG. boarders rifled bridge & masters cabin, stole cash and electronics."
ASAM-2000-00073,2018-08-11T23:33:00,2018,8,6.5237,120.0538,Sulu Sea,Yacht,Boarded,0,0,Unknown,"Yacht attacked by BIFF splinter group at anchorage. MOA: M16 + RPG armed boarding. Weapons observed: AK-47. boarders rifled bridge & masters cabin, stole cash and electronics."
ASAM-2001-00074,2019-04-18T07:32:00,2019,4,4.8715,7.0204,Gulf of Guinea,Chemical Tanker,Fired Upon,0,0,AK-47,"Chemical Tanker attacked by Nigerian kidnap-for-ransom cell at anchorage. MOA: kidnap-for-ransom of officers. Weapons observed: RPG-7. master engaged evasive maneuvers, RPG and small arms fire received."
ASAM-2002-00075,2004-07-26T05:27:00,2004,7,2.6823,100.5017,Strait of Malacca,Container Ship,Boarded,0,2,Knives,"Container Ship attacked by Indonesian coastal gang underway in transit lane. MOA: fast skiff rob at narrow channel. Weapons observed: knives/machetes. boarders rifled bridge & masters cabin, stole cash and electronics; 2 crew taken hostage; ransom demand transmitted within 72h."
ASAM-2003-00076,2021-04-06T04:32:00,2021,4,3.9265,7.87,Gulf of Guinea,Fishing Vessel,Boarded,0,0,Knives,"Fishing Vessel attacked by Bakassi Strike Force remnant underway in transit lane. MOA: fast attack craft >150nm offshore. Weapons observed: small arms. boarders rifled bridge & masters cabin, stole cash and electronics."
ASAM-2004-00077,2020-04-15T22:49:00,2020,4,4.0822,7.4651,Gulf of Guinea,Bulk Carrier,Hijacked,0,25,RPG,"Bulk Carrier attacked by Niger Delta militant offshoot at anchorage. MOA: tanker product theft (siphon). Weapons observed: M16 + RPG. vessel hijacked, crew of 17 taken to coastal anchorage; 25 crew taken hostage; ransom demand transmitted within 72h."
ASAM-2005-00078,2025-08-10T02:55:00,2025,8,10.8118,111.4942,South China Sea,Crude Oil Tanker,Boarded,0,1,Knives,"Crude Oil Tanker attacked by Vietnamese coastal robbers at anchorage. MOA: stealth anchorage boarding. Weapons observed: M16 + RPG. boarders rifled bridge & masters cabin, stole cash and electronics; 1 crew taken hostage; ransom demand transmitted within 72h."
ASAM-2006-00079,2019-04-13T08:11:00,2019,4,10.0877,-65.7062,Caribbean / Venezuelan,RoRo Vehicle Carrier,Attempted,0,0,Small arms,RoRo Vehicle Carrier attacked by Venezuelan coastal gang approx 51nm offshore. MOA: yacht boarding at anchorage. Weapons observed: small arms. approach broken off after master sounded alarm and engaged firehoses.
ASAM-2007-00080,2012-12-26T22:12:00,2012,12,11.996,48.834,Gulf of Aden,General Cargo,Attempted,0,0,AK-47,General Cargo attacked by Hobyo-Harardhere PAG at anchorage. MOA: grappling hook boarding at low freeboard. Weapons observed: small arms. approach broken off after master sounded alarm and engaged firehoses.
ASAM-2008-00081,2010-01-09T01:58:00,2010,1,9.1306,6.9116,Gulf of Guinea,LPG/LNG Tanker,Boarded,0,1,Unknown,"LPG/LNG Tanker attacked by Nigerian kidnap-for-ransom cell in narrow channel. MOA: fast attack craft >150nm offshore. Weapons observed: AK-47. boarders rifled bridge & masters cabin, stole cash and electronics; 1 crew taken hostage; ransom demand transmitted within 72h."
